"","Base model","DebWV","DebWV reweight","DebWV, Rec Block 2001","Rec Block 2001","Rec Block 2001, 2017","Rec Block 2001, 03, 08, 17","Rec Block 2001, 2005","Rec Block 2001, 05, 17","RecCom Block 2001, 2017","RecCom Block 2001"
"Total Likelihood",186.851,210.522,231.633,194.872,181.163,176.775,167.37,179.255,176.087,159.1,168.922
"Length Likelihood",163.104,178.135,195.73,165.889,158.815,153.373,146.661,157.203,153.774,144.026,152.532
"Recruitment Likelihood",23.7461,32.3871,35.9024,28.982,22.3476,23.4007,20.7064,22.0474,22.3074,15.0695,16.3887
"Parameter Bounds Likelihood",0.000734868,0.000838,0.000873661,0.000929879,0.000880893,0.00143791,0.00174144,0.00441031,0.00561191,0.0037214,0.00157492
"N parms",98,98,98,103,103,107,118,108,113,118,108
"AIC",569.702,617.044,659.266,595.744,568.326,567.55,570.74,574.51,578.174,554.2,553.844
"delta AIC",0,NA,NA,NA,-1.37599999999998,-2.15200000000004,1.03800000000001,4.80799999999999,8.47199999999998,-15.502,-15.8579999999999
"ln(R0)",3.16822,3.11832,3.10167,3.15127,3.18881,3.1787,3.19335,3.1943,3.1849,3.22631,3.23162
"SB Virgin",55.0825,52.4018,51.5365,54.157,56.2285,55.6632,56.4847,56.5384,56.0091,58.3771,58.688
"SB 2021",7.74523,6.3063,6.4151,6.87923,8.58336,8.12544,8.35743,9.11897,6.98261,5.47056,8.71062
"Fraction Unfished 2021",0.140611,0.120345,0.124477,0.127024,0.152652,0.145975,0.147959,0.161288,0.124669,0.0937108,0.148423
"Total Yield at SPR 50",8.40587,8.00309,7.88561,8.10015,8.38161,8.63913,8.34392,8.37923,8.77536,10.0163,8.79182
"Peak commercial selex",41.5676,42.7163,43.0274,41.7776,40.788,40.8007,40.5793,40.491,41.5754,45.5711,43.0581
"Ascend se commercial selex",4.70844,4.76416,4.77828,4.72638,4.6746,4.654,4.68457,4.66311,4.73109,3.8626,4.37803
"Peak recreational selex 2020",33.3646,32.7139,32.8053,32.6535,32.6428,40.3079,32.1224,32.6289,44.1411,45.8148,33.1338
"Ascend se recreational selex 2020",3.94575,3.88642,3.90029,3.64054,3.63584,4.68338,3.11032,3.6662,5.04241,4.94156,3.69677
